Letter,Pinky,Ring,Middle,Index,Thumb,X,Y,Z
K,286,300,520,486,405,0,0,0
K,288,300,520,485,403,0,0,0
K,289,300,519,484,404,0,0,0
K,291,301,520,482,403,12,13,18
K,291,301,520,480,402,7,8,10
K,292,301,520,479,402,3,3,3
K,292,301,519,478,403,0,0,0
K,294,302,519,478,403,0,0,0
K,295,303,518,478,405,10,13,16
K,295,304,517,478,405,9,9,12
K,295,302,517,477,404,3,3,4
K,296,301,516,475,403,1,0,0
K,296,301,515,473,405,0,0,0
K,296,303,516,475,407,4,6,7
K,292,304,516,475,407,10,11,16
K,293,304,515,474,406,4,4,5
K,293,304,516,474,406,3,3,3
K,294,304,516,472,404,0,0,0
K,295,302,515,470,397,0,0,0
K,298,304,515,472,398,11,13,18
K,298,303,514,471,403,7,7,10
K,298,304,512,470,408,3,3,3
K,297,302,510,470,408,0,0,0
K,297,302,510,470,408,0,0,0
K,299,303,512,470,408,12,14,18
K,299,304,512,470,409,9,10,14
K,298,303,512,470,408,3,3,4
K,300,305,513,469,408,0,0,0
K,298,302,513,468,408,0,0,0
K,299,304,513,470,410,6,8,10
K,300,305,513,470,409,10,11,14
K,300,304,513,470,408,3,3,4
K,299,305,513,470,408,0,0,0
K,300,304,512,469,408,0,0,0
K,300,304,512,470,408,3,6,7
K,299,304,513,469,407,10,11,15
K,300,304,511,468,407,3,4,5
K,300,304,511,468,406,0,0,0
K,300,303,511,466,407,0,0,0
K,300,305,510,468,408,8,11,14
K,300,305,511,468,407,11,12,16
K,301,303,510,468,407,3,3,4
K,300,304,510,468,407,2,2,1
K,300,304,508,468,407,0,0,0
K,301,305,509,468,408,4,6,8
K,303,304,508,469,408,10,11,16
K,301,304,509,470,408,3,3,5
K,300,304,508,469,408,0,0,0
K,300,303,508,468,407,0,0,0
K,301,304,509,469,407,3,4,6
D,291,293,316,492,358,12,14,18
D,291,292,316,492,358,11,12,17
D,290,292,316,491,359,9,10,14
D,291,292,315,491,358,7,7,10
D,290,291,317,490,359,4,3,5
D,291,292,317,491,359,3,3,3
D,291,292,317,489,359,2,2,2
D,293,292,317,489,357,2,2,2
D,292,291,316,489,356,0,0,0
D,290,291,318,488,357,0,0,0
D,292,292,317,488,357,0,0,0
D,291,292,317,488,357,0,0,0
D,292,293,318,488,358,0,0,0
D,291,293,318,488,358,8,11,15
D,292,293,319,487,358,12,14,19
D,293,294,315,488,358,11,12,17
D,293,294,318,488,358,10,10,14
D,292,293,319,488,357,7,8,11
D,292,293,318,488,357,4,4,5
D,293,294,318,487,358,3,3,4
D,293,293,319,487,358,3,3,3
D,294,294,319,486,357,2,2,3
D,291,295,318,486,356,2,1,0
D,292,293,318,485,357,0,0,0
D,293,293,318,485,356,0,0,0
D,292,293,319,486,356,0,0,0
D,292,293,319,485,357,0,0,0
D,292,293,318,485,357,0,0,0
D,292,294,317,485,357,0,1,2
D,294,295,319,484,359,7,10,13
D,293,295,320,486,358,12,14,19
D,293,295,321,485,359,12,14,20
D,293,295,320,485,358,10,12,17
D,294,295,320,485,358,10,11,15
D,293,295,320,484,357,8,8,11
D,293,293,320,485,357,5,5,7
D,293,294,321,485,356,3,3,4
